Date,Symbol,Description,Open,High,Low,Close,TotalVolume,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short
1971-11-30,Price_FC_0_IOB,Feeder Cattle,74.8,74.8,74.275,74.275,90,,,,,,,,,,
1971-12-01,Price_FC_0_IOB,Feeder Cattle,74.225,74.225,73.3,73.65,52,,,,,,,,,,
1971-12-02,Price_FC_0_IOB,Feeder Cattle,73.55,74.3,73.5,74.05,30,,,,,,,,,,
1971-12-03,Price_FC_0_IOB,Feeder Cattle,74.3,74.325,74.1,74.3,29,,,,,,,,,,
1971-12-06,Price_FC_0_IOB,Feeder Cattle,74.5,74.7,74.3,74.3,25,,,,,,,,,,
1971-12-07,Price_FC_0_IOB,Feeder Cattle,74.3,74.3,74.275,74.275,6,,,,,,,,,,
1971-12-08,Price_FC_0_IOB,Feeder Cattle,74.05,74.05,73.9,73.9,12,,,,,,,,,,
1971-12-09,Price_FC_0_IOB,Feeder Cattle,73.8,73.8,73.8,73.8,11,,,,,,,,,,
1971-12-10,Price_FC_0_IOB,Feeder Cattle,73.7,73.8,73.7,73.8,23,,,,,,,,,,
1971-12-13,Price_FC_0_IOB,Feeder Cattle,73.575,73.65,73.55,73.6,10,,,,,,,,,,
1971-12-14,Price_FC_0_IOB,Feeder Cattle,73.6,73.65,73.6,73.65,10,,,,,,,,,,
1971-12-15,Price_FC_0_IOB,Feeder Cattle,73.7,74.1,73.7,74.1,16,,,,,,,,,,
1971-12-16,Price_FC_0_IOB,Feeder Cattle,74.225,74.375,74.225,74.3,29,,,,,,,,,,
1971-12-17,Price_FC_0_IOB,Feeder Cattle,74.3,74.3,74.3,74.3,31,,,,,,,,,,
1971-12-20,Price_FC_0_IOB,Feeder Cattle,74.3,74.3,73.55,73.55,20,,,,,,,,,,
1971-12-21,Price_FC_0_IOB,Feeder Cattle,73.55,74.1,73.55,74.05,4,,,,,,,,,,
1971-12-22,Price_FC_0_IOB,Feeder Cattle,74.05,74.05,74.05,74.05,2,,,,,,,,,,
1971-12-23,Price_FC_0_IOB,Feeder Cattle,74.05,74.05,74.05,74.05,0,,,,,,,,,,
1971-12-27,Price_FC_0_IOB,Feeder Cattle,74.2,74.2,74.2,74.2,26,,,,,,,,,,
1971-12-28,Price_FC_0_IOB,Feeder Cattle,74.2,74.3,74.2,74.3,16,,,,,,,,,,
1971-12-29,Price_FC_0_IOB,Feeder Cattle,74.3,74.3,74.225,74.225,14,,,,,,,,,,
1971-12-30,Price_FC_0_IOB,Feeder Cattle,74.075,74.1,74.075,74.1,9,,,,,,,,,,
1972-01-03,Price_FC_0_IOB,Feeder Cattle,74.3,74.3,74.275,74.275,18,,,,,,,,,,
1972-01-04,Price_FC_0_IOB,Feeder Cattle,74.3,74.525,74.3,74.425,9,,,,,,,,,,
1972-01-05,Price_FC_0_IOB,Feeder Cattle,74.55,74.55,74.55,74.55,19,,,,,,,,,,
1972-01-06,Price_FC_0_IOB,Feeder Cattle,74.3,74.55,74.3,74.55,12,,,,,,,,,,
1972-01-07,Price_FC_0_IOB,Feeder Cattle,74.55,74.55,74.55,74.55,24,,,,,,,,,,
1972-01-10,Price_FC_0_IOB,Feeder Cattle,74.55,74.975,74.55,74.85,81,,,,,,,,,,
1972-01-11,Price_FC_0_IOB,Feeder Cattle,74.8,75.0,74.8,74.95,33,,,,,,,,,,
1972-01-12,Price_FC_0_IOB,Feeder Cattle,75.0,75.75,75.0,75.55,54,,,,,,,,,,
1972-01-13,Price_FC_0_IOB,Feeder Cattle,75.55,76.5,75.55,76.5,110,,,,,,,,,,
1972-01-14,Price_FC_0_IOB,Feeder Cattle,76.8,76.95,76.575,76.6,173,,,,,,,,,,
1972-01-17,Price_FC_0_IOB,Feeder Cattle,76.9,77.025,76.8,76.8,83,,,,,,,,,,
1972-01-18,Price_FC_0_IOB,Feeder Cattle,76.4,76.4,75.75,76.3,84,,,,,,,,,,
1972-01-19,Price_FC_0_IOB,Feeder Cattle,76.15,76.65,76.15,76.65,53,,,,,,,,,,
1972-01-20,Price_FC_0_IOB,Feeder Cattle,76.6,76.6,76.6,76.6,2,,,,,,,,,,
1972-01-21,Price_FC_0_IOB,Feeder Cattle,76.1,76.1,76.1,76.1,3,,,,,,,,,,
1972-01-24,Price_FC_0_IOB,Feeder Cattle,76.15,76.15,76.15,76.4,13,,,,,,,,,,
1972-01-25,Price_FC_0_IOB,Feeder Cattle,76.65,76.65,76.4,76.4,5,,,,,,,,,,
1972-01-26,Price_FC_0_IOB,Feeder Cattle,76.4,76.4,76.35,76.35,7,,,,,,,,,,
1972-01-27,Price_FC_0_IOB,Feeder Cattle,76.3,76.3,76.3,76.3,4,,,,,,,,,,
1972-01-28,Price_FC_0_IOB,Feeder Cattle,76.3,76.3,76.3,76.3,1,,,,,,,,,,
1972-01-31,Price_FC_0_IOB,Feeder Cattle,76.15,76.15,76.15,76.15,6,,,,,,,,,,
1972-02-01,Price_FC_0_IOB,Feeder Cattle,76.1,76.1,76.1,76.1,0,,,,,,,,,,
1972-02-02,Price_FC_0_IOB,Feeder Cattle,76.05,76.15,76.05,76.15,8,,,,,,,,,,
1972-02-03,Price_FC_0_IOB,Feeder Cattle,76.15,76.15,76.05,76.125,9,,,,,,,,,,
1972-02-04,Price_FC_0_IOB,Feeder Cattle,76.3,76.3,76.1,76.25,15,,,,,,,,,,
1972-02-07,Price_FC_0_IOB,Feeder Cattle,76.3,76.4,76.2,76.4,23,,,,,,,,,,
1972-02-08,Price_FC_0_IOB,Feeder Cattle,76.3,76.35,76.25,76.325,15,,,,,,,,,,
1972-02-09,Price_FC_0_IOB,Feeder Cattle,76.375,76.4,76.35,76.4,9,,,,,,,,,,
1972-02-10,Price_FC_0_IOB,Feeder Cattle,76.375,76.375,76.375,76.375,4,,,,,,,,,,
1972-02-11,Price_FC_0_IOB,Feeder Cattle,76.3,76.65,76.3,76.6,40,,,,,,,,,,
1972-02-14,Price_FC_0_IOB,Feeder Cattle,76.65,76.65,76.625,76.625,7,,,,,,,,,,
1972-02-15,Price_FC_0_IOB,Feeder Cattle,76.45,76.6,76.425,76.6,16,,,,,,,,,,
1972-02-16,Price_FC_0_IOB,Feeder Cattle,76.4,76.55,76.4,76.55,4,,,,,,,,,,
1972-02-17,Price_FC_0_IOB,Feeder Cattle,76.55,76.6,76.55,76.55,24,,,,,,,,,,
1972-02-18,Price_FC_0_IOB,Feeder Cattle,76.55,76.55,76.55,76.55,21,,,,,,,,,,
1972-02-22,Price_FC_0_IOB,Feeder Cattle,76.6,76.65,76.55,76.625,15,,,,,,,,,,
1972-02-23,Price_FC_0_IOB,Feeder Cattle,76.55,76.55,76.55,76.55,3,,,,,,,,,,
1972-02-24,Price_FC_0_IOB,Feeder Cattle,76.55,76.55,76.4,76.5,25,,,,,,,,,,
1972-02-25,Price_FC_0_IOB,Feeder Cattle,76.45,76.45,76.45,76.45,13,,,,,,,,,,
1972-02-28,Price_FC_0_IOB,Feeder Cattle,76.45,76.45,76.45,76.45,21,,,,,,,,,,
1972-02-29,Price_FC_0_IOB,Feeder Cattle,76.4,76.4,76.4,76.4,15,,,,,,,,,,
1972-03-01,Price_FC_0_IOB,Feeder Cattle,76.4,76.4,76.4,76.4,4,,,,,,,,,,
